Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD413,Jaipur,Indus University,4th,Electric Vehicle,College Collaboration
LD414,Jaipur,CPET Academy,2nd,Electric Vehicle,Instagram
LD415,Ahmedabad,Indus University,3rd,AI,Instagram
LD416,Bangalore,Nirma University,4th,Robotics,College Collaboration
LD417,Chandigarh,Nirma University,2nd,Data Science,Instagram
LD418,Bangalore,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD419,Mumbai,Nirma University,4th,Electric Vehicle,Instagram
LD420,Ahmedabad,St Xaviers College,3rd,Robotics,Instagram
LD421,Surat,Gujarat Institute Of Technology,4th,Electric Vehicle,College Collaboration
LD422,Jaipur,Indus University,3rd,Data Science,WhatsApp
LD423,Jaipur,CPET Academy,4th,Robotics,Mass-Mailing
LD424,Jaipur,St Xaviers College,2nd,Electric Vehicle,LinkedIn
LD425,Hyderabad,Gujarat Institute Of Technology,3rd,Robotics,Mass-Mailing
LD426,Jaipur,Indus University,4th,Robotics,College Collaboration
LD427,Delhi,CPET Academy,1st,AI,College Collaboration
LD428,Surat,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD429,Pune,CPET Academy,4th,Electric Vehicle,LinkedIn
LD430,Ahmedabad,St Xaviers College,2nd,AI,LinkedIn
LD431,Jaipur,Indus University,3rd,Data Science,Instagram
LD432,Delhi,CPET Academy,3rd,AI,Instagram
LD433,Ahmedabad,Gujarat Institute Of Technology,3rd,Electric Vehicle,Google Form
LD434,Hyderabad,Indus University,4th,AI,College Collaboration
LD435,Chandigarh,Indus University,3rd,AI,WhatsApp
LD436,Chandigarh,CPET Academy,3rd,Data Science,Google Form
LD437,Pune,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD438,Pune,Nirma University,4th,AI,Mass-Mailing
LD439,Chandigarh,Chandigarh University,2nd,Robotics,Mass-Mailing
LD440,Pune,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD441,Jaipur,St Xaviers College,1st,Electric Vehicle,Google Form
LD442,Pune,Gujarat Institute Of Technology,4th,Electric Vehicle,Instagram
LD443,Chandigarh,Indus University,4th,Electric Vehicle,WhatsApp
LD444,Kolkata,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD445,Surat,St Xaviers College,3rd,Data Science,College Collaboration
LD446,Mumbai,Gujarat Institute Of Technology,1st,AI,Instagram
LD447,Mumbai,Nirma University,3rd,Data Science,College Collaboration
LD448,Jaipur,Nirma University,4th,Robotics,College Collaboration
LD449,Ahmedabad,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD450,Jaipur,Indus University,4th,AI,WhatsApp
LD451,Hyderabad,Chandigarh University,2nd,Robotics,Instagram
LD452,Hyderabad,Chandigarh University,2nd,Robotics,Google Form
LD453,Ahmedabad,Nirma University,3rd,Data Science,Instagram
LD454,Hyderabad,Chandigarh University,4th,Robotics,Google Form
LD455,Mumbai,Nirma University,1st,Electric Vehicle,Mass-Mailing
LD456,Mumbai,Gujarat Institute Of Technology,2nd,AI,Mass-Mailing
LD457,Surat,CPET Academy,4th,Data Science,WhatsApp
LD458,Chandigarh,Indus University,4th,Data Science,Google Form
LD459,Pune,CPET Academy,3rd,Data Science,LinkedIn
LD460,Surat,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD461,Surat,Chandigarh University,1st,AI,Instagram
LD462,Jaipur,Nirma University,1st,Data Science,College Collaboration
LD463,Surat,St Xaviers College,4th,Data Science,Google Form
LD464,Chandigarh,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD465,Jaipur,Chandigarh University,4th,Electric Vehicle,Instagram
LD466,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,Mass-Mailing
LD467,Chandigarh,Indus University,1st,Robotics,WhatsApp
LD468,Delhi,Nirma University,4th,AI,WhatsApp
LD469,Pune,Gujarat Institute Of Technology,4th,Data Science,Google Form
LD470,Ahmedabad,CPET Academy,3rd,Data Science,WhatsApp
LD471,Ahmedabad,CPET Academy,3rd,Data Science,LinkedIn
LD472,Hyderabad,Chandigarh University,1st,Electric Vehicle,Google Form
LD473,Mumbai,Chandigarh University,3rd,AI,Google Form
LD474,Hyderabad,Chandigarh University,4th,AI,Google Form
LD475,Bangalore,Chandigarh University,3rd,Electric Vehicle,WhatsApp
LD476,Kolkata,Gujarat Institute Of Technology,1st,AI,WhatsApp
LD477,Kolkata,Nirma University,4th,Data Science,Mass-Mailing
LD478,Hyderabad,St Xaviers College,4th,AI,WhatsApp
LD479,Jaipur,Nirma University,4th,Electric Vehicle,WhatsApp
LD480,Kolkata,Indus University,4th,AI,College Collaboration
LD481,Delhi,St Xaviers College,3rd,Electric Vehicle,Instagram
LD482,Delhi,Gujarat Institute Of Technology,1st,AI,Google Form
LD483,Surat,CPET Academy,3rd,Electric Vehicle,Instagram
LD484,Surat,Chandigarh University,3rd,Electric Vehicle,LinkedIn
LD485,Ahmedabad,Gujarat Institute Of Technology,4th,Data Science,Instagram
LD486,Mumbai,Indus University,3rd,Electric Vehicle,WhatsApp
LD487,Mumbai,Chandigarh University,2nd,Robotics,College Collaboration
LD488,Ahmedabad,Chandigarh University,1st,AI,WhatsApp
LD489,Delhi,Indus University,1st,Data Science,College Collaboration
LD490,Jaipur,Gujarat Institute Of Technology,1st,AI,Mass-Mailing
LD491,Delhi,Nirma University,2nd,Data Science,Google Form
LD492,Hyderabad,Indus University,4th,AI,LinkedIn
LD493,Mumbai,CPET Academy,4th,AI,College Collaboration
LD494,Ahmedabad,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD495,Jaipur,Gujarat Institute Of Technology,4th,Data Science,College Collaboration
LD496,Delhi,St Xaviers College,1st,Data Science,Google Form
LD497,Surat,Nirma University,1st,Data Science,Google Form
LD498,Kolkata,CPET Academy,3rd,Electric Vehicle,College Collaboration
LD499,Delhi,Nirma University,1st,Robotics,WhatsApp
LD500,Mumbai,CPET Academy,4th,Electric Vehicle,College Collaboration
LD501,Kolkata,Indus University,1st,Electric Vehicle,Mass-Mailing
LD502,Jaipur,Indus University,4th,AI,Google Form
LD503,Pune,Chandigarh University,3rd,AI,Instagram
LD504,Hyderabad,Nirma University,2nd,Electric Vehicle,College Collaboration
LD505,Chandigarh,St Xaviers College,3rd,AI,WhatsApp
LD506,Ahmedabad,Nirma University,1st,Electric Vehicle,LinkedIn
LD507,Hyderabad,Indus University,4th,AI,College Collaboration
LD508,Delhi,CPET Academy,4th,AI,College Collaboration
LD509,Pune,Gujarat Institute Of Technology,4th,Robotics,WhatsApp
LD510,Bangalore,Indus University,1st,Electric Vehicle,LinkedIn
LD511,Mumbai,Nirma University,2nd,Robotics,LinkedIn
LD512,Kolkata,Indus University,3rd,Electric Vehicle,Instagram
LD513,Delhi,Nirma University,2nd,Electric Vehicle,College Collaboration
LD514,Ahmedabad,St Xaviers College,2nd,Robotics,Google Form
LD515,Bangalore,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD516,Kolkata,Chandigarh University,4th,Electric Vehicle,College Collaboration
LD517,Jaipur,Nirma University,4th,Electric Vehicle,Mass-Mailing
LD518,Bangalore,Nirma University,4th,Electric Vehicle,Mass-Mailing
LD519,Hyderabad,Chandigarh University,4th,Data Science,Instagram
LD520,Surat,Chandigarh University,2nd,Data Science,LinkedIn
LD521,Kolkata,Chandigarh University,2nd,Robotics,LinkedIn
LD522,Bangalore,Indus University,4th,Robotics,Google Form
LD523,Ahmedabad,Gujarat Institute Of Technology,1st,AI,Instagram
LD524,Mumbai,Gujarat Institute Of Technology,2nd,Robotics,WhatsApp
LD525,Pune,Gujarat Institute Of Technology,2nd,Data Science,Google Form
LD526,Delhi,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD527,Kolkata,Nirma University,4th,Electric Vehicle,Google Form
LD528,Ahmedabad,Nirma University,3rd,Data Science,WhatsApp
LD529,Pune,Nirma University,4th,AI,College Collaboration
LD530,Mumbai,Indus University,4th,AI,Google Form
LD531,Chandigarh,Gujarat Institute Of Technology,1st,Data Science,LinkedIn
LD532,Bangalore,St Xaviers College,1st,Robotics,WhatsApp
LD533,Kolkata,Indus University,1st,AI,LinkedIn
LD534,Bangalore,Gujarat Institute Of Technology,3rd,AI,Google Form
LD535,Surat,CPET Academy,3rd,Data Science,Instagram
LD536,Pune,Chandigarh University,2nd,AI,LinkedIn
LD537,Chandigarh,Nirma University,3rd,Robotics,Instagram
LD538,Ahmedabad,Nirma University,2nd,Electric Vehicle,Mass-Mailing
LD539,Pune,CPET Academy,3rd,Data Science,Google Form
LD540,Kolkata,CPET Academy,4th,Robotics,Mass-Mailing
LD541,Jaipur,St Xaviers College,4th,AI,Google Form
LD542,Bangalore,St Xaviers College,3rd,Data Science,LinkedIn
LD543,Pune,Gujarat Institute Of Technology,4th,Robotics,Google Form
LD544,Chandigarh,Indus University,3rd,Data Science,College Collaboration
LD545,Chandigarh,Indus University,4th,AI,College Collaboration
LD546,Chandigarh,Nirma University,2nd,Electric Vehicle,WhatsApp
LD547,Pune,CPET Academy,1st,Robotics,Instagram
LD548,Ahmedabad,Chandigarh University,2nd,Robotics,Mass-Mailing
LD549,Mumbai,Nirma University,1st,Robotics,College Collaboration
LD550,Jaipur,CPET Academy,4th,Electric Vehicle,LinkedIn
LD551,Delhi,Chandigarh University,1st,Robotics,WhatsApp
LD552,Chandigarh,Indus University,4th,Robotics,College Collaboration
LD553,Surat,Indus University,1st,AI,Google Form
LD554,Mumbai,CPET Academy,3rd,Robotics,College Collaboration
LD555,Chandigarh,Indus University,1st,Robotics,College Collaboration
LD556,Chandigarh,Indus University,3rd,Data Science,College Collaboration
LD557,Ahmedabad,Chandigarh University,1st,Robotics,Mass-Mailing
LD558,Chandigarh,Nirma University,1st,Robotics,Google Form
LD559,Mumbai,Indus University,3rd,Robotics,Instagram
LD560,Surat,Gujarat Institute Of Technology,1st,Data Science,Google Form
LD561,Jaipur,Indus University,2nd,Electric Vehicle,Mass-Mailing
LD562,Kolkata,Chandigarh University,1st,AI,College Collaboration
LD563,Delhi,Indus University,4th,AI,Google Form
LD564,Pune,Nirma University,1st,AI,Google Form
LD565,Pune,Gujarat Institute Of Technology,3rd,Data Science,College Collaboration
LD566,Ahmedabad,Nirma University,4th,Data Science,Instagram
LD567,Chandigarh,Chandigarh University,4th,Robotics,WhatsApp
LD568,Delhi,Indus University,4th,Data Science,Mass-Mailing
LD569,Ahmedabad,CPET Academy,3rd,Robotics,Google Form
LD570,Hyderabad,Nirma University,2nd,AI,Mass-Mailing
LD571,Pune,CPET Academy,1st,AI,LinkedIn
LD572,Pune,Chandigarh University,3rd,AI,WhatsApp
LD573,Pune,Indus University,1st,AI,LinkedIn
LD574,Delhi,Indus University,3rd,Electric Vehicle,Mass-Mailing
LD575,Pune,CPET Academy,1st,Data Science,Instagram
LD576,Hyderabad,Indus University,3rd,AI,Instagram
LD577,Bangalore,Indus University,4th,Data Science,Instagram
LD578,Delhi,St Xaviers College,2nd,Robotics,Google Form
LD579,Kolkata,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD580,Chandigarh,St Xaviers College,3rd,Data Science,Instagram
LD581,Bangalore,St Xaviers College,3rd,AI,WhatsApp
LD582,Chandigarh,Nirma University,4th,AI,Mass-Mailing
LD583,Jaipur,Nirma University,2nd,Data Science,Instagram
LD584,Ahmedabad,Indus University,2nd,Electric Vehicle,LinkedIn
LD585,Kolkata,Indus University,4th,Data Science,College Collaboration
LD586,Surat,St Xaviers College,4th,Electric Vehicle,LinkedIn
LD587,Jaipur,CPET Academy,4th,AI,Google Form
LD588,Ahmedabad,St Xaviers College,4th,AI,College Collaboration
LD589,Chandigarh,CPET Academy,4th,Data Science,Mass-Mailing
LD590,Mumbai,St Xaviers College,3rd,AI,WhatsApp
LD591,Bangalore,Gujarat Institute Of Technology,3rd,Electric Vehicle,Instagram
LD592,Bangalore,Indus University,1st,Electric Vehicle,WhatsApp
LD593,Chandigarh,Nirma University,4th,Robotics,Instagram
LD594,Pune,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD595,Chandigarh,Gujarat Institute Of Technology,1st,Data Science,LinkedIn
LD596,Hyderabad,Gujarat Institute Of Technology,2nd,Robotics,College Collaboration
LD597,Ahmedabad,Indus University,4th,Electric Vehicle,WhatsApp
LD598,Kolkata,Indus University,4th,AI,Google Form
LD599,Delhi,Chandigarh University,3rd,Data Science,WhatsApp
LD600,Delhi,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD601,Jaipur,Indus University,3rd,AI,Mass-Mailing
LD602,Kolkata,CPET Academy,3rd,Robotics,Mass-Mailing
LD603,Jaipur,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD604,Pune,CPET Academy,1st,Data Science,LinkedIn
LD605,Jaipur,Indus University,4th,Data Science,Instagram
LD606,Kolkata,CPET Academy,3rd,Robotics,Mass-Mailing
LD607,Jaipur,CPET Academy,4th,Data Science,Google Form
LD608,Bangalore,Chandigarh University,4th,Robotics,LinkedIn
LD609,Pune,Nirma University,4th,Data Science,LinkedIn
LD610,Delhi,Gujarat Institute Of Technology,4th,Data Science,LinkedIn
LD611,Kolkata,Indus University,3rd,AI,LinkedIn
LD612,Pune,Chandigarh University,3rd,AI,College Collaboration
LD613,Kolkata,St Xaviers College,3rd,AI,LinkedIn
LD614,Mumbai,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD615,Surat,Nirma University,2nd,Electric Vehicle,Google Form
LD616,Delhi,Chandigarh University,3rd,Robotics,College Collaboration
LD617,Kolkata,Gujarat Institute Of Technology,1st,Electric Vehicle,College Collaboration
LD618,Surat,Nirma University,4th,Robotics,LinkedIn
LD619,Surat,Gujarat Institute Of Technology,4th,Electric Vehicle,College Collaboration
LD620,Kolkata,Nirma University,2nd,Data Science,LinkedIn
LD621,Mumbai,CPET Academy,4th,Data Science,Instagram
LD622,Chandigarh,Chandigarh University,4th,AI,Instagram
LD623,Bangalore,Gujarat Institute Of Technology,3rd,Data Science,LinkedIn
LD624,Pune,Gujarat Institute Of Technology,3rd,Robotics,Google Form
LD625,Bangalore,Indus University,3rd,Electric Vehicle,Instagram
LD626,Jaipur,Indus University,3rd,Electric Vehicle,WhatsApp
LD627,Delhi,Indus University,1st,Data Science,WhatsApp
LD628,Surat,St Xaviers College,4th,Data Science,College Collaboration
LD629,Bangalore,Indus University,1st,Robotics,LinkedIn
LD630,Mumbai,St Xaviers College,2nd,AI,Mass-Mailing
LD631,Ahmedabad,Gujarat Institute Of Technology,2nd,Robotics,Instagram
LD632,Chandigarh,Chandigarh University,2nd,Robotics,LinkedIn
LD633,Surat,Gujarat Institute Of Technology,4th,Data Science,College Collaboration
LD634,Bangalore,Chandigarh University,3rd,Robotics,Google Form
LD635,Kolkata,CPET Academy,3rd,AI,Instagram
LD636,Chandigarh,St Xaviers College,3rd,Robotics,LinkedIn
LD637,Mumbai,St Xaviers College,3rd,Robotics,Mass-Mailing
LD638,Surat,CPET Academy,2nd,Electric Vehicle,Instagram
LD639,Kolkata,CPET Academy,2nd,Robotics,Instagram
LD640,Bangalore,Nirma University,4th,Electric Vehicle,College Collaboration
LD641,Jaipur,CPET Academy,3rd,Robotics,LinkedIn
LD642,Jaipur,St Xaviers College,3rd,Robotics,Google Form
LD643,Pune,CPET Academy,2nd,AI,Google Form
LD644,Chandigarh,Chandigarh University,3rd,Data Science,Mass-Mailing
LD645,Surat,Gujarat Institute Of Technology,2nd,Electric Vehicle,LinkedIn
LD646,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,LinkedIn
LD647,Ahmedabad,CPET Academy,4th,Data Science,Google Form
LD648,Kolkata,Chandigarh University,3rd,Electric Vehicle,College Collaboration
LD649,Ahmedabad,Indus University,3rd,Electric Vehicle,LinkedIn
LD650,Surat,CPET Academy,4th,Data Science,LinkedIn
LD651,Bangalore,Nirma University,1st,Data Science,Google Form
LD652,Jaipur,Gujarat Institute Of Technology,4th,Robotics,Instagram
LD653,Pune,Chandigarh University,2nd,Data Science,Instagram
LD654,Kolkata,CPET Academy,2nd,Data Science,Mass-Mailing
LD655,Mumbai,Indus University,1st,AI,WhatsApp
LD656,Surat,Chandigarh University,2nd,Electric Vehicle,Google Form
LD657,Kolkata,Nirma University,2nd,Robotics,Mass-Mailing
LD658,Chandigarh,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD659,Bangalore,Gujarat Institute Of Technology,3rd,Robotics,Instagram
LD660,Chandigarh,Gujarat Institute Of Technology,2nd,Data Science,Instagram
LD661,Jaipur,CPET Academy,1st,Electric Vehicle,Mass-Mailing
LD662,Surat,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD663,Surat,Indus University,2nd,Data Science,Mass-Mailing
LD664,Pune,CPET Academy,2nd,Robotics,Mass-Mailing
LD665,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,Mass-Mailing
LD666,Mumbai,Nirma University,4th,Electric Vehicle,College Collaboration
LD667,Kolkata,St Xaviers College,1st,Electric Vehicle,College Collaboration
LD668,Chandigarh,Nirma University,1st,Robotics,WhatsApp
LD669,Mumbai,Chandigarh University,4th,AI,College Collaboration
LD670,Surat,Chandigarh University,1st,Data Science,Instagram
LD671,Jaipur,St Xaviers College,3rd,Data Science,Google Form
LD672,Surat,CPET Academy,4th,Data Science,Google Form
LD673,Kolkata,CPET Academy,2nd,AI,Mass-Mailing
LD674,Kolkata,Gujarat Institute Of Technology,3rd,Robotics,LinkedIn
LD675,Surat,Gujarat Institute Of Technology,2nd,Data Science,Google Form
LD676,Delhi,St Xaviers College,4th,Robotics,LinkedIn
LD677,Hyderabad,Nirma University,3rd,Data Science,Instagram
LD678,Pune,Gujarat Institute Of Technology,2nd,AI,Instagram
LD679,Chandigarh,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD680,Kolkata,Indus University,2nd,Data Science,Mass-Mailing
LD681,Chandigarh,CPET Academy,3rd,Data Science,Google Form
LD682,Ahmedabad,St Xaviers College,1st,AI,Mass-Mailing
LD683,Chandigarh,Indus University,1st,Electric Vehicle,WhatsApp
LD684,Delhi,Chandigarh University,1st,AI,College Collaboration
LD685,Mumbai,Indus University,3rd,AI,Google Form
LD686,Ahmedabad,Chandigarh University,1st,AI,College Collaboration
LD687,Bangalore,CPET Academy,4th,AI,Google Form
LD688,Jaipur,St Xaviers College,3rd,Robotics,LinkedIn
LD689,Hyderabad,Gujarat Institute Of Technology,4th,AI,Instagram
LD690,Hyderabad,Nirma University,4th,Electric Vehicle,College Collaboration
LD691,Surat,St Xaviers College,1st,Electric Vehicle,Instagram
LD692,Chandigarh,Gujarat Institute Of Technology,1st,AI,Google Form
LD693,Delhi,St Xaviers College,3rd,Data Science,WhatsApp
LD694,Mumbai,Chandigarh University,3rd,Robotics,WhatsApp
LD695,Surat,Nirma University,3rd,Data Science,WhatsApp
LD696,Bangalore,Gujarat Institute Of Technology,1st,Data Science,Mass-Mailing
LD697,Ahmedabad,CPET Academy,1st,Data Science,LinkedIn
LD698,Chandigarh,St Xaviers College,3rd,Electric Vehicle,Mass-Mailing
LD699,Hyderabad,CPET Academy,1st,Robotics,LinkedIn
LD700,Ahmedabad,Nirma University,3rd,Robotics,College Collaboration
LD701,Ahmedabad,CPET Academy,2nd,Electric Vehicle,LinkedIn
LD702,Delhi,CPET Academy,1st,AI,LinkedIn
LD703,Bangalore,Gujarat Institute Of Technology,1st,Robotics,Mass-Mailing
LD704,Kolkata,St Xaviers College,1st,AI,Google Form
LD705,Mumbai,Indus University,4th,Data Science,LinkedIn
LD706,Ahmedabad,St Xaviers College,1st,AI,College Collaboration
LD707,Delhi,CPET Academy,2nd,Data Science,WhatsApp
LD708,Kolkata,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD709,Pune,CPET Academy,4th,Data Science,WhatsApp
LD710,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD711,Mumbai,CPET Academy,1st,AI,Mass-Mailing
LD712,Jaipur,Nirma University,3rd,AI,Google Form
LD713,Hyderabad,Gujarat Institute Of Technology,2nd,Robotics,WhatsApp
LD714,Hyderabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD715,Hyderabad,CPET Academy,2nd,Data Science,Google Form
LD716,Bangalore,Indus University,1st,Data Science,College Collaboration
LD717,Surat,St Xaviers College,3rd,Data Science,LinkedIn
LD718,Ahmedabad,Chandigarh University,1st,Robotics,College Collaboration
LD719,Surat,Gujarat Institute Of Technology,3rd,Robotics,College Collaboration
LD720,Pune,Chandigarh University,3rd,Robotics,College Collaboration
LD721,Pune,CPET Academy,4th,Data Science,College Collaboration
LD722,Mumbai,CPET Academy,4th,Robotics,WhatsApp
LD723,Surat,Nirma University,3rd,Robotics,LinkedIn
LD724,Hyderabad,St Xaviers College,4th,Data Science,Google Form
LD725,Bangalore,Indus University,1st,AI,College Collaboration
LD726,Delhi,St Xaviers College,2nd,Electric Vehicle,WhatsApp
LD727,Kolkata,CPET Academy,2nd,Data Science,LinkedIn
LD728,Bangalore,Nirma University,3rd,AI,Instagram
LD729,Ahmedabad,CPET Academy,2nd,Robotics,Google Form
LD730,Kolkata,Chandigarh University,4th,Electric Vehicle,College Collaboration
LD731,Kolkata,St Xaviers College,1st,Data Science,Instagram
